file,folder,stem,variant,size_bytes,importers_count,suggested_action
src/components/EnhancedMobileCamera.tsx,components,EnhancedMobileCamera,,17283,0,likely_delete
src/components/audit/AuditLogDetailsDialog.tsx,audit,AuditLogDetailsDialog,,24853,0,likely_delete
src/components/contracts/AlarafOfficialContractComplete.tsx,contracts,AlarafOfficialContractComplete,Complete,59977,0,duplicate_variant
src/components/contracts/ContractAlerts.tsx,contracts,ContractAlerts,,6022,0,likely_delete
src/components/contracts/ContractAmendmentForm.tsx,contracts,ContractAmendmentForm,,17072,0,likely_delete
src/components/contracts/ContractAmendmentsList.tsx,contracts,ContractAmendmentsList,,15550,0,likely_delete
src/components/contracts/ContractCreationErrorHandler.tsx,contracts,ContractCreationErrorHandler,,7327,0,likely_delete
src/components/contracts/ContractHeader.tsx,contracts,ContractHeader,,8632,0,likely_delete
src/components/contracts/ContractHeaderRedesigned.tsx,contracts,ContractHeaderRedesigned,Redesigned,26237,0,duplicate_variant
src/components/contracts/ContractHtmlViewer.tsx,contracts,ContractHtmlViewer,,17357,0,likely_delete
src/components/contracts/ContractInvoicesTabRedesigned.tsx,contracts,ContractInvoicesTabRedesigned,Redesigned,60201,0,duplicate_variant
src/components/contracts/ContractPaymentsTabRedesigned.tsx,contracts,ContractPaymentsTabRedesigned,Redesigned,56077,0,duplicate_variant
src/components/contracts/ContractPrintDialog.tsx,contracts,ContractPrintDialog,,6429,0,likely_delete
src/components/contracts/ContractPrintView.tsx,contracts,ContractPrintView,,24446,0,likely_delete
src/components/contracts/ContractStatusBadge.tsx,contracts,ContractStatusBadge,,6685,0,likely_delete
src/components/contracts/ContractVehicleConditionReport.tsx,contracts,ContractVehicleConditionReport,,12551,0,likely_delete
src/components/contracts/ContractViolationsTabRedesigned.tsx,contracts,ContractViolationsTabRedesigned,Redesigned,55571,0,duplicate_variant
src/components/contracts/ConvertToLegalDialog.tsx,contracts,ConvertToLegalDialog,,20608,0,likely_delete
src/components/contracts/DocumentSavingProgress.tsx,contracts,DocumentSavingProgress,,6292,0,likely_delete
